EventKey,TeamScouted,AutoTopRocketPanels,AutoMiddleRocketPanels,AutoBottomRocketPanels,AutoTopRocketCargo,AutoMiddleRocketCargo,AutoBottomRocketCargo,AutoShipPanels,AutoShipCargo,TeleopTopRocketPanels,TeleopMiddleRocketPanels,TeleopBottomRocketPanels,TeleopTopRocketCargo,TeleopMiddleRocketCargo,TeleopBottomRocketCargo,TeleopShipPanels,TeleopShipCargo,PanelGroundPickup,CargoGroundPickup,EndgameLevelClimbed,EndgameAssistinClimbing,RecklessDriving,NotPresent,Disabled,RobotFailure,TopHeavy,Foul,Card
MAREA,11,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,23,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.25,0.13,0.13,0.13,0.38,3.63,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00
MAREA,45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
MAREA,62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.33,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,95,0.00,0.22,0.33,0.00,0.00,0.22,0.11,0.00,1.33,1.33,0.78,0.44,0.89,0.22,0.00,0.67,0.22,0.33,0.56,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00
MAREA,157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.08,0.00,0.00,0.00,0.08,1.25,0.08,0.25,1.75,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00
MAREA,238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.22,0.11,3.78,0.00,0.22,1.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,501,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.44,0.22,0.00,0.11,0.33,0.44,0.67,0.11,0.44,1.11,0.00,0.00,0.00,0.11,0.11,0.33,0.00,0.00
MAREA,1027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.10,1.60,0.00,0.30,0.90,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00
MAREA,1073,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.80,0.00,0.60,0.00,1.40,0.00,0.10,0.00,0.10,0.20,0.00,0.10,0.00
MAREA,1289,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.08,0.08,1.00,0.00,0.38,0.54,0.08,0.00,0.08,0.08,0.08,0.00,0.00,0.00
MAREA,1474,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.44,0.22,0.56,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,1757,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.67,0.11,0.22,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,1761,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.25,0.75,0.00,0.08,0.00,0.00,0.17,0.08,0.00,0.00
MAREA,2084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.44,0.78,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00
MAREA,2176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,2262,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.11,0.00,0.00,0.00,2.00,0.00,0.22,0.00,0.00,0.22,0.00,0.11,0.00
MAREA,2423,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.09,0.00,0.91,0.00,0.18,0.82,0.00,0.00,0.00,0.09,0.18,0.00,0.00,0.00
MAREA,2648,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.30,0.00,0.00,0.40,0.00,1.50,0.10,0.60,0.90,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00
MAREA,2713,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.30,0.50,0.00,0.20,0.10,0.10,0.10,0.20,0.10,0.00
MAREA,2827,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,2876,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.70,0.00,0.00,0.00,0.40,0.50,0.10,0.30,1.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,3930,0.00,0.00,0.15,0.00,0.00,0.00,0.77,0.00,0.00,0.08,0.31,0.00,0.15,0.15,0.00,1.23,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.15,0.00,0.08,0.00
MAREA,3958,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00,0.00,2.18,0.00,0.00,0.00,2.73,0.09,0.18,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,4169,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,1.40,0.00,0.00,0.00,1.20,0.00,0.10,0.00,0.90,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00
MAREA,4311,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.50,0.00,0.00,0.10,0.90,0.10,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00
MAREA,4761,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.22,0.00,0.00,0.89,0.00,0.00,0.00,1.44,0.89,0.00,0.11,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,4905,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.91,0.00,0.00,0.00,0.00,0.00,0.09,0.09,2.82,0.09,0.18,2.09,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00
MAREA,4906,0.00,0.00,0.25,0.00,0.00,0.00,0.17,0.08,0.00,0.08,0.42,0.00,0.00,0.17,0.50,2.17,0.08,0.50,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,4909,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.08,0.17,0.42,0.67,0.00,0.00,0.33,0.58,1.25,0.08,0.50,1.67,0.00,0.17,0.00,0.08,0.00,0.08,0.00,0.00
MAREA,4929,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.40,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,5265,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.44,0.00,0.11,0.00,0.56,0.00,0.22,0.00,0.00,0.22,0.00,0.00,0.00
MAREA,5459,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.11,0.22,2.44,0.00,0.78,0.67,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,5556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.27,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.91,0.00,0.27,0.00,0.09,0.09,0.09,0.00,0.00
MAREA,5563,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.10,0.10,0.10,0.00,0.90,0.00,0.20,0.00,0.00,0.10,0.00,0.00,0.00
MAREA,5735,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.55,0.36,0.00,0.00,0.00,0.18,0.00,0.00,0.09,0.91,0.00,0.00,0.00,0.09,0.27,0.09,0.18,0.00
MAREA,5752,0.00,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.33,0.22,0.22,0.00,0.00,0.11,0.33,0.22,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,5962,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.10,0.10,0.50,0.20,0.00,0.00,1.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,6153,0.07,0.07,0.14,0.00,0.00,0.00,0.21,0.00,0.50,0.36,0.79,0.14,0.00,0.36,0.57,1.21,0.07,0.43,0.57,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.00
MAREA,6161,0.00,0.00,0.27,0.00,0.00,0.00,0.45,0.00,0.00,0.00,1.18,0.00,0.00,0.00,1.00,0.09,0.18,0.00,1.82,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00
MAREA,7438,0.00,0.09,0.00,0.00,0.00,0.00,0.09,0.55,0.00,0.00,0.00,0.00,0.00,0.18,0.09,2.09,0.09,0.55,1.91,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,7795,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.30,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAREA,7822,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.10,0.00,0.10,0.00,1.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
